time	V(vout)
2.000006912475456e-04	-5.737035e-03
2.000006987865103e-04	-5.737035e-03
2.000007064991314e-04	-5.737035e-03
2.000007144078335e-04	-5.737035e-03
2.000007225391252e-04	-5.737035e-03
2.000007309281898e-04	-5.737035e-03
2.000007396214686e-04	-5.737035e-03
2.000007486857588e-04	-5.737035e-03
2.000007582221768e-04	-5.737035e-03
2.000007683992424e-04	-5.737035e-03
2.000007795317122e-04	-5.737035e-03
2.000007923318536e-04	-5.737035e-03
2.000008092073597e-04	-5.737035e-03
2.000008206858794e-04	-5.737035e-03
2.000008327329143e-04	-5.737035e-03
2.000008478912305e-04	-5.737035e-03
2.000008649251876e-04	-5.737035e-03
2.000008793497302e-04	-5.737035e-03
2.000009007337480e-04	-5.737035e-03
2.000009213527944e-04	-5.737035e-03
2.000009625908872e-04	-5.737035e-03
2.000010000000000e-04	-5.737035e-03
2.000010037409113e-04	-5.737035e-03
2.000010112227338e-04	-5.737035e-03
2.000010261863789e-04	-5.737035e-03
2.000010561136692e-04	-5.737035e-03
2.000011159682496e-04	-5.737035e-03
2.000012356774105e-04	-5.737035e-03
2.000014750957323e-04	-5.737035e-03
2.000019539323759e-04	-5.737035e-03
2.000029116056631e-04	-5.737035e-03
2.000048269522375e-04	-5.737035e-03
2.000086576453863e-04	-5.737034e-03
2.000163190316839e-04	-5.737034e-03
2.000316418042791e-04	-5.737032e-03
2.000622873494695e-04	-5.737028e-03
2.001235784398503e-04	-5.737021e-03
2.002461606206118e-04	-5.737007e-03
2.004913249821349e-04	-5.736979e-03
2.009816537051811e-04	-5.736923e-03
2.019623111512736e-04	-5.736810e-03
2.030396851078151e-04	-5.736687e-03
2.030406851078151e-04	-5.736687e-03
2.030426851078151e-04	-5.736687e-03
2.030466851078150e-04	-5.736686e-03
2.030546851078149e-04	-5.736685e-03
2.030706851078147e-04	-5.736683e-03
2.031026851078144e-04	-5.736680e-03
2.031666851078136e-04	-5.736672e-03
2.032946851078122e-04	-5.736657e-03
2.035506851078093e-04	-5.736628e-03
2.040626851078035e-04	-5.736570e-03
2.040636851078035e-04	-5.736569e-03
2.040656851078034e-04	-5.736569e-03
2.040696851078034e-04	-5.736569e-03
2.040776851078033e-04	-5.736568e-03
2.040936851078031e-04	-5.736566e-03
2.041256851078028e-04	-5.736562e-03
2.041896851078020e-04	-5.736555e-03
2.043176851078006e-04	-5.736541e-03
2.045736851077977e-04	-5.736511e-03
2.045746851077977e-04	-5.736511e-03
2.045766851077976e-04	-5.736511e-03
2.045806851077976e-04	-5.736510e-03
2.045886851077975e-04	-5.736509e-03
2.046046851077973e-04	-5.736507e-03
2.046366851077969e-04	-5.736504e-03
2.047006851077962e-04	-5.736496e-03
2.048286851077948e-04	-5.736482e-03
2.048296851077948e-04	-5.736482e-03
2.048316851077947e-04	-5.736481e-03
2.048356851077947e-04	-5.736481e-03
2.048436851077946e-04	-5.736480e-03
2.048596851077944e-04	-5.736478e-03
2.048916851077941e-04	-5.736474e-03
2.049370000000007e-04	-5.736469e-03
2.049380000000007e-04	-5.736469e-03
2.049400000000007e-04	-5.736469e-03
2.049440000000006e-04	-5.736469e-03
2.049520000000005e-04	-5.736468e-03
2.049680000000003e-04	-5.736466e-03
2.049690000000003e-04	-5.736466e-03
2.049710000000003e-04	-5.736466e-03
2.049750000000003e-04	-5.736465e-03
2.049830000000002e-04	-5.736464e-03
2.049850000000001e-04	-5.736464e-03
2.049890000000001e-04	-5.736463e-03
2.049930000000000e-04	-5.736463e-03
2.049940000000000e-04	-5.736463e-03
2.049960000000000e-04	-5.736463e-03
2.049970000000000e-04	-5.736463e-03
2.049990000000000e-04	-5.736462e-03
2.050000000000000e-04	-5.736462e-03
2.050010000000000e-04	-5.736462e-03
2.050011000000000e-04	-5.736462e-03
2.050013000000000e-04	-5.736462e-03
2.050016000000000e-04	-5.736462e-03
2.050020000000000e-04	-5.736462e-03
2.050020400000000e-04	-5.736462e-03
2.050021200000000e-04	-5.736462e-03
2.050035600000000e-04	-5.736462e-03
